"","Degree","Betweenness","Eigenvecto","Constraint"
"105lgwm",157,151107,1,0.00636942675159233
"14ec8zx",28,20343,0,0.0357142857142857
"126rjun",12,1095,0,0.0833333333333334
"12vl57c",12,192,0,0.0833333333333334
"1134ddq",67,70826,0,0.0149253731343283
"128r3j5",85,90598,0,0.0117647058823529
"10jd9xf",20,24470,0,0.05
"124tz2b",89,65741,0,0.0112359550561798
"jovqu4h",3,2287,0,0.333333333333333
"jouk353",8,3332,0,0.125
"jou45gn",9,11596,0,0.111111111111111
"jouf15m",2,3417,0,0.5
"jougrmi",4,4872,0,0.25
"jov2kwv",3,433,0,0.333333333333333
"jouxs1g",2,217,0,0.5
"jox5kmt",1,0,0,1
"jou2pq7",4,5041,0,0.25
"jovod3w",2,217,0,0.5
"jovrebm",1,0,0,1
"joy1hvf",2,217,0,0.5
"jozgsqd",1,0,0,1
"jovu321",1,0,0,1
"jow2op6",2,432,0,0.5
"joxqb6a",1,0,0,1
"jour7yd",3,647,0,0.333333333333333
"joufpxt",1,0,0,1
"joua77o",2,1477,0,0.5
"jowgtuh",1,0,0,1
"jowf9e8",4,1073,0,0.25
"jovd894",2,432,0,0.5
"jovva00",2,432,0,0.5
"jowpu8l",3,433,0,0.333333333333333
"jouv2lt",2,217,0,0.5
"jowsv4a",1,0,0,1
"jovf7fq",1,0,0,1
"jp14iwe",1,0,0,1
"jowhmyd",2,1881,0,0.5
"joz3c0i",1,0,0,1
"jovumnq",2,1065,0,0.5
"jovx55r",1,0,0,1
"joxxg8p",2,432,0,0.5
"jov2gtf",2,217,0,0.5
"joxm8fu",2,217,0,0.5
"joxx44b",1,0,0,1
"joz4fsj",1,0,0,1
"jou83hj",2,4992,0,0.5
"jovfc6b",3,647,0,0.333333333333333
"jowaxz8",1,0,0,1
"jouwdno",2,645,0,0.5
"jov7oyg",4,1491,0,0.25
"jow123n",1,0,0,1
"joufvh2",7,3893,0,0.142857142857143
"joz7xs8",1,0,0,1
"jovy4sf",9,3323,0,0.111111111111111
"joux631",4,4413,0,0.25
"jowo4p4",1,0,0,1
"joxd7q5",1,0,0,1
"jows7wa",1,0,0,1
"jowl368",1,0,0,1
"jovwnlt",1,0,0,1
"jou93xk",2,4485,0,0.5
"joza6ut",1,0,0,1
"joxxl3b",1,0,0,1
"joxelgw",1,0,0,1
"joyhyxv",1,0,0,1
"jp599ir",2,217,0,0.5
"jozbaie",1,0,0,1
"joxykcg",2,217,0,0.5
"jov2agt",2,1272,0,0.5
"jowvqbi",2,217,0,0.5
"joxylye",2,217,0,0.5
"jp58sz1",1,0,0,1
"jox3ome",2,217,0,0.5
"joxyglu",2,217,0,0.5
"joyizd9",1,0,0,1
"jowvt3d",1,0,0,1
"jowlj5q",1,0,0,1
"jox4l9f",4,1699,0,0.25
"joxs6xp",2,856,0,0.5
"joz7rvp",2,217,0,0.5
"jovl2b7",1,0,0,1
"joz7h09",1,0,0,1
"jouaybr",4,4931,0,0.25
"jowxqbr",2,217,0,0.5
"jowvel3",1,0,0,1
"jowuwdx",2,432,0,0.5
"jovbyxx",2,217,0,0.5
"jowlt1n",1,0,0,1
"jovvou8",2,645,0,0.5
"jouzzfy",2,217,0,0.5
"jov1qp5",2,432,0,0.5
"jougiev",4,2107,0,0.25
"jowzxhr",1,0,0,1
"jov6qye",1,0,0,1
"joupnjj",1,0,0,1
"jovzg6t",5,1494,0,0.2
"joxdtac",1,0,0,1
"joxjuw7",1,0,0,1
"jowgsda",2,217,0,0.5
"jowd14q",1,0,0,1
"joxln3a",1,0,0,1
"joxwue7",1,0,0,1
"joz8brl",1,0,0,1
"jov2ycx",3,3089,0,0.333333333333333
"jovp8wq",1,0,0,1
"jovvs72",2,856,0,0.5
"joubn6y",2,4312,0,0.5
"jpc1e95",1,0,0,1
"joy6dan",1,0,0,1
"jowm4q0",2,1065,0,0.5
"jp4ilao",1,0,0,1
"jp4ies6",1,0,0,1
"joxt7kx",1,0,0,1
"joy5mza",1,0,0,1
"joxgjas",2,432,0,0.5
"jox64km",1,0,0,1
"joxx0jx",2,645,0,0.5
"joxzdik",2,645,0,0.5
"jp81cxz",1,0,0,1
"joubfyt",2,432,0,0.5
"jouwugd",2,217,0,0.5
"joub86o",7,3901,0,0.142857142857143
"jowy2of",1,0,0,1
"joxqvwg",2,217,0,0.5
"jp0pbus",1,0,0,1
"jox6so7",2,432,0,0.5
"jovlu80",1,0,0,1
"jov2gqt",2,217,0,0.5
"joulfq9",2,1065,0,0.5
"jouxcxi",2,432,0,0.5
"jowsqwb",1,0,0,1
"jow6r5b",2,217,0,0.5
"jowuanj",3,433,0,0.333333333333333
"joxd33t",1,0,0,1
"joyk5hf",1,0,0,1
"joxiish",1,0,0,1
"jovbgb6",2,2080,0,0.5
"jox7621",3,647,0,0.333333333333333
"jovwj27",2,645,0,0.5
"joulcwn",5,4194,0,0.2
"joxndm8",2,856,0,0.5
"joxx29u",2,217,0,0.5
"jp5p0hz",2,432,0,0.5
"joy19hr",3,433,0,0.333333333333333
"jox6hlc",2,217,0,0.5
"jownsjy",1,0,0,1
"jougdun",4,1901,0,0.25
"jovv2ge",1,0,0,1
"jouja8c",2,432,0,0.5
"jouzggd",2,432,0,0.5
"jov4rpk",1,0,0,1
"jowdf0t",1,0,0,1
"joxtrou",1,0,0,1
"joxz8r4",2,217,0,0.5
"jov374n",1,0,0,1
"jousxid",3,859,0,0.333333333333333
"jow0zgi",2,217,0,0.5
"joz84yu",1,0,0,1
"jowxvmo",1,0,0,1
"joxjzuq",1,0,0,1
"jovt9jc",2,1881,0,0.5
"jox9j76",2,217,0,0.5
"joxxdzb",1,0,0,1
"jovyk5s",2,432,0,0.5
"jourwdk",7,3523,0,0.142857142857143
"jov6xiu",1,0,0,1
"jov4pp3",1,0,0,1
"jox9ng1",1,0,0,1
"jp15f4f",2,645,0,0.5
"joybv98",1,0,0,1
"jp7sd1o",2,217,0,0.5
"joy6ths",1,0,0,1
"joyeit0",1,0,0,1
"joxg99y",1,0,0,1
"jovwbln",3,1069,0,0.333333333333333
"jouggy0",1,0,0,1
"jouwzm2",2,217,0,0.5
"jovc2w9",2,217,0,0.5
"jov577l",2,217,0,0.5
"jp19pwg",1,0,0,1
"jowimgq",1,0,0,1
"jowiqrz",2,432,0,0.5
"jowgnz0",1,0,0,1
"jovyafx",4,1700,0,0.25
"joxpv9y",1,0,0,1
"jovzff3",2,217,0,0.5
"jov600m",1,0,0,1
"jov5lxa",2,432,0,0.5
"jout97n",1,0,0,1
"jov9vog",1,0,0,1
"jov717o",3,647,0,0.333333333333333
"jov6rc0",2,1272,0,0.5
"jp1on38",2,432,0,0.5
"jp86tvf",1,0,0,1
"jow12yw",2,645,0,0.5
"jowdebj",1,0,0,1
"jowdq83",1,0,0,1
"jox4ix1",1,0,0,1
"jov68yw",1,0,0,1
"jox0xfk",2,217,0,0.5
"jowh6gb",4,648,0,0.25
"joz8kc0",2,217,0,0.5
"jp4m6wa",2,217,0,0.5
"jowe9gf",1,0,0,1
"jovbj6h",2,217,0,0.5
"jov8yln",2,217,0,0.5
"joxxypf",1,0,0,1
"jov9fae",3,1071,0,0.333333333333333
"jp38tg8",2,217,0,0.5
"jowhueb",2,432,0,0.5
"jox2nxb",1,0,0,1
"jowsrnt",1,0,0,1
"jowmbbv",1,0,0,1
"joxxbzl",1,0,0,1
"jp171sz",1,0,0,1
"jp50w6n",1,0,0,1
"jovfip0",1,0,0,1
"jovcxk7",1,0,0,1
"jovcjh0",2,217,0,0.5
"jovc4ue",2,432,0,0.5
"jp4etrw",1,0,0,1
"jox46xh",2,217,0,0.5
"jovd5o6",1,0,0,1
"jovdlh1",2,217,0,0.5
"jox6j2k",1,0,0,1
"jovxqsi",1,0,0,1
"j5kdk4z",4,13388,0,0.25
"j5kibps",2,1928,0,0.5
"j5k6xtq",1,0,0,1
"j5jr8xj",13,15376,0,0.0769230769230769
"j5lulzf",2,980,0,0.5
"j5on1pu",1,0,0,1
"j5l88kd",2,248,0,0.5
"j5kki1n",1,0,0,1
"j5kkzqx",6,1712,0,0.166666666666667
"j5ke2n3",3,7796,0,0.333333333333333
"j5ktc2u",3,495,0,0.333333333333333
"j5mnbxv",1,0,0,1
"j5ll7rd",1,0,0,1
"j5latw6",2,494,0,0.5
"j5kfial",1,0,0,1
"j5kvv16",2,1928,0,0.5
"j5kwah6",1,0,0,1
"j5kl3ve",4,3339,0,0.25
"j5mbz8c",1,0,0,1
"j5t2oe3",1,0,0,1
"j5kq28y",6,11961,0,0.166666666666667
"j5l4ijh",2,1220,0,0.5
"j5ppvd7",3,740,0,0.333333333333333
"j5l9s9h",3,1700,0,0.333333333333333
"j5jw3su",3,2636,0,0.333333333333333
"j5js2sf",3,4599,0,0.333333333333333
"j5l81x2",1,0,0,1
"j5l8pkx",1,0,0,1
"j5k0znq",2,1220,0,0.5
"j5kl4ch",1,0,0,1
"j5k42ot",3,740,0,0.333333333333333
"j5k4ka4",1,0,0,1
"j5k1dnf",3,5684,0,0.333333333333333
"j5kxjn1",1,0,0,1
"j5kvqnh",1,0,0,1
"j5pb49k",1,0,0,1
"j5mynw4",2,738,0,0.5
"j5mjnn6",1,0,0,1
"j5kqtb8",1,0,0,1
"j5mdvdy",1,0,0,1
"j5krio6",2,494,0,0.5
"j5l1oms",1,0,0,1
"j5l2wy0",1,0,0,1
"j5knm8j",2,3944,0,0.5
"j5kolqz",5,3797,0,0.2
"j5l7ibq",1,0,0,1
"j5u37hu",1,0,0,1
"j5on763",2,248,0,0.5
"j5l7ro7",2,1694,0,0.5
"j5kngio",1,0,0,1
"j5kua1k",3,1935,0,0.333333333333333
"j5kzb10",2,738,0,0.5
"j5l0jxs",1,0,0,1
"j5kwo0k",4,10290,0,0.25
"j5kv61j",2,248,0,0.5
"j5l9zmo",4,985,0,0.25
"j5nwfxr",1,0,0,1
"j5l6lib",4,985,0,0.25
"j5q3z1y",2,248,0,0.5
"j5sqex8",1,0,0,1
"j5lxt6e",4,1227,0,0.25
"j5m2kzd",1,0,0,1
"j5kc1zg",3,1935,0,0.333333333333333
"j5kbfhu",2,248,0,0.5
"j5k1uii",7,4263,0,0.142857142857143
"j5o75jv",1,0,0,1
"j5kcwgo",2,980,0,0.5
"j5k64fw",2,248,0,0.5
"j5k5n1d",1,0,0,1
"j5n5ema",2,4580,0,0.5
"j5k9247",3,740,0,0.333333333333333
"j5nb00n",2,494,0,0.5
"j5l2xod",2,248,0,0.5
"j5kx148",3,3791,0,0.333333333333333
"j5kpdgj",4,2175,0,0.25
"j5kq1nj",3,740,0,0.333333333333333
"j5nzw8w",1,0,0,1
"j5ow5y5",1,0,0,1
"j5pm4w4",1,0,0,1
"j5l80t8",2,1458,0,0.5
"j5lwhs9",2,1458,0,0.5
"j5kz0ok",1,0,0,1
"j5l09lo",2,494,0,0.5
"j5lg6nt",2,248,0,0.5
"j5o62xw",2,248,0,0.5
"j5mxluf",2,9338,0,0.5
"j5kwboh",1,0,0,1
"j5m1kbn",2,248,0,0.5
"j5n454r",1,0,0,1
"j5lczgg",1,0,0,1
"j5llkhc",1,0,0,1
"j5lnh1t",1,0,0,1
"j5mbpms",2,248,0,0.5
"j5q4kjb",1,0,0,1
"j5mta41",1,0,0,1
"j5n5iue",2,494,0,0.5
"j5ojot3",1,0,0,1
"j5kdde0",3,1463,0,0.333333333333333
"j5p32t7",1,0,0,1
"j5kdkkr",1,0,0,1
"j5k755w",5,2187,0,0.2
"j5l0lne",2,248,0,0.5
"j5omxrq",2,248,0,0.5
"j5k2jg5",1,0,0,1
"j5kvxrb",1,0,0,1
"j5pi5k9",2,248,0,0.5
"j5kgdrw",3,740,0,0.333333333333333
"j5k7ylc",1,0,0,1
"j5nxor2",2,4370,0,0.5
"j5kc994",2,248,0,0.5
"j5n5zv7",1,0,0,1
"j5nfp1c",2,248,0,0.5
"j5l3jzo",1,0,0,1
"j5vzkq7",2,1928,0,0.5
"j5kxwuj",5,1470,0,0.2
"j5ktxeh",1,0,0,1
"j5l17ob",1,0,0,1
"j5ku63y",3,1463,0,0.333333333333333
"j5l4rs1",1,0,0,1
"j5n7lzx",2,248,0,0.5
"j5lmyz5",3,1224,0,0.333333333333333
"j5m0u39",2,1220,0,0.5
"j5lj2yh",2,248,0,0.5
"j5m6flg",1,0,0,1
"j5poh0w",1,0,0,1
"j5n2oh1",4,9267,0,0.25
"j5o8ado",1,0,0,1
"j5nfkss",1,0,0,1
"j5oi008",2,248,0,0.5
"j5kl88h",1,0,0,1
"j5kfgv6",3,984,0,0.333333333333333
"j5ke3r1",2,494,0,0.5
"j5lb3ub",1,0,0,1
"j5kc8wm",2,738,0,0.5
"j5olcg8",1,0,0,1
"j5o7bqs",1,0,0,1
"j5onkfc",1,0,0,1
"j5pkwsi",1,0,0,1
"j5kpqlj",2,248,0,0.5
"j5od2ys",1,0,0,1
"j5okjex",2,4158,0,0.5
"j5kcvy2",1,0,0,1
"j5nije9",1,0,0,1
"j5w0805",2,1694,0,0.5
"j5kydrp",1,0,0,1
"j5mdq44",1,0,0,1
"j5n32ap",2,494,0,0.5
"j5u2wgh",1,0,0,1
"j5lueph",2,980,0,0.5
"j5oi09d",1,0,0,1
"j5nbcjf",1,0,0,1
"j5m6x1x",3,740,0,0.333333333333333
"j5omo4x",1,0,0,1
"j5m1nfx",2,980,0,0.5
"j5lnzgf",1,0,0,1
"j5nwl7f",1,0,0,1
"j5n4sq9",4,9030,0,0.25
"j5nsvko",1,0,0,1
"j5pr1q4",1,0,0,1
"j5ksb33",2,248,0,0.5
"j5khm13",2,248,0,0.5
"j5lbfsh",2,248,0,0.5
"j5ke8us",2,494,0,0.5
"j5l32bo",1,0,0,1
"j5osebr",4,4010,0,0.25
"j5w4yao",2,1458,0,0.5
"j5npg13",2,248,0,0.5
"j5m8xj2",3,740,0,0.333333333333333
"j5otrxf",1,0,0,1
"j5mlubr",2,248,0,0.5
"j5m44uh",2,738,0,0.5
"j5ng8dz",5,1712,0,0.2
"j5n6t7x",7,7142,0,0.142857142857143
"j5nogi9",2,248,0,0.5
"j5kspge",1,0,0,1
"j5npoa8",1,0,0,1
"j5lz28c",1,0,0,1
"j5l0urr",2,248,0,0.5
"j5otpda",2,248,0,0.5
"j5oue4k",2,494,0,0.5
"j695cte",2,2618,0,0.5
"j5w5e56",2,1220,0,0.5
"j5oqyz7",1,0,0,1
"j5osx5l",2,248,0,0.5
"j5oj65a",1,0,0,1
"j5mmcpg",1,0,0,1
"j5m4j2y",2,494,0,0.5
"j5oub4e",2,248,0,0.5
"j5qxflg",2,248,0,0.5
"j5s1dav",2,248,0,0.5
"j6qa4xt",1,0,0,1
"j5nxl9r",3,1704,0,0.333333333333333
"j5nfzos",2,1220,0,0.5
"j5nofav",2,738,0,0.5
"j5njc50",2,248,0,0.5
"j5nohpx",3,495,0,0.333333333333333
"j5nsy3l",2,1694,0,0.5
"j5nxabp",1,0,0,1
"j5le3en",1,0,0,1
"j5owef2",1,0,0,1
"j5oxvyc",2,248,0,0.5
"j6b0vyd",2,2390,0,0.5
"j60yfnc",2,980,0,0.5
"j5pe6ub",1,0,0,1
"j5m9alp",2,248,0,0.5
"j5pp8y6",1,0,0,1
"j5qzpxf",1,0,0,1
"j5s30vu",1,0,0,1
"j5oiu3r",2,980,0,0.5
"j5zpomj",2,248,0,0.5
"j5nggca",2,980,0,0.5
"j5nt4iw",2,494,0,0.5
"j5nt0wb",1,0,0,1
"j5ofsj1",1,0,0,1
"j5nspkp",1,0,0,1
"j5oh4hf",2,1458,0,0.5
"j5p1gct",1,0,0,1
"j6b0yqw",2,2160,0,0.5
"j612icg",2,738,0,0.5
"j5mb5aa",1,0,0,1
"j5smxai",2,738,0,0.5
"j62ghfc",1,0,0,1
"j5nnc9x",2,738,0,0.5
"j5of0od",2,248,0,0.5
"j5oi2is",2,1220,0,0.5
"j6b1d31",2,1928,0,0.5
"j62qpbb",2,494,0,0.5
"j5tidm1",2,494,0,0.5
"j5ohk8x",2,494,0,0.5
"j5ohvab",1,0,0,1
"j5ojfn0",2,980,0,0.5
"j6b34wv",2,1694,0,0.5
"j62qtxg",2,248,0,0.5
"j5tknj6",2,248,0,0.5
"j5ouubc",2,248,0,0.5
"j5pxc6j",2,738,0,0.5
"j6cqine",2,1458,0,0.5
"j64rv6v",1,0,0,1
"j5tothu",1,0,0,1
"j5ovf1y",1,0,0,1
"j5q011h",2,494,0,0.5
"j6cz58h",2,1220,0,0.5
"j5sr4mf",2,248,0,0.5
"j6fh5ge",2,980,0,0.5
"j5tmo57",1,0,0,1
"j6fp5lr",2,738,0,0.5
"j6kf2r3",2,494,0,0.5
"j6ksljw",2,248,0,0.5
"j6l5vui",1,0,0,1
"jhbskvl",1,0,0,1
"jhccvc4",1,0,0,1
"jhbrven",2,20,0,0.5
"jhca6oo",1,0,0,1
"jhcw6zv",1,0,0,1
"jhd2iki",1,0,0,1
"jhbtjah",2,20,0,0.5
"jhc300x",4,73,0,0.25
"jhbno94",2,54,0,0.5
"jhbogqt",1,0,0,1
"jhbmyp4",1,0,0,1
"jhcfs48",1,0,0,1
"jhbs0na",1,0,0,1
"jhccaeh",1,0,0,1
"jhmxdxf",1,0,0,1
"jhc3fam",2,20,0,0.5
"jhctp4c",1,0,0,1
"jhbs980",3,39,0,0.333333333333333
"jhdb3oq",1,0,0,1
"jhbvtnq",1,0,0,1
"jhbzt3b",1,0,0,1
"jek57uz",18,36667,0,0.0555555555555556
"jekkac0",1,0,0,1
"jekfuur",5,9444,0,0.2
"jeki4wb",2,19800,0,0.5
"jekcss6",4,3953,0,0.25
"jekkixx",3,7309,0,0.333333333333333
"jelioyu",1,0,0,1
"jek00mk",4,14452,0,0.25
"jek0j2h",2,445,0,0.5
"jekdlaq",8,7832,0,0.125
"jejxzht",8,17135,0,0.125
"jem8fob",1,0,0,1
"jek7aoc",2,445,0,0.5
"jekifgz",3,2645,0,0.333333333333333
"jejxee5",2,445,0,0.5
"jekfn14",2,445,0,0.5
"jekwpr7",1,0,0,1
"jemuj2p",1,0,0,1
"jelkftm",1,0,0,1
"jejy7o2",3,9349,0,0.333333333333333
"jek1385",3,2645,0,0.333333333333333
"jelpegv",1,0,0,1
"jelarlg",1,0,0,1
"jempqnx",1,0,0,1
"jennoaf",2,445,0,0.5
"jetjqv3",1,0,0,1
"jek0sld",7,7828,0,0.142857142857143
"jekolev",1,0,0,1
"jekjwfu",1,0,0,1
"jek1b08",2,888,0,0.5
"jek3n1y",1,0,0,1
"jek3rjt",1,0,0,1
"jelov2s",1,0,0,1
"jelusqv",1,0,0,1
"jelyike",1,0,0,1
"jen0k0c",1,0,0,1
"jenhtsg",1,0,0,1
"jeka69v",2,445,0,0.5
"jekt40l",1,0,0,1
"jekx7ki",2,888,0,0.5
"jempxdn",1,0,0,1
"jend55w",1,0,0,1
"jekc0vr",1,0,0,1
"jekvgzs",1,0,0,1
"jel9zk5",1,0,0,1
"jekkag1",2,445,0,0.5
"jekw3ou",1,0,0,1
"jekap2h",1,0,0,1
"jekdtir",1,0,0,1
"jekfhlr",1,0,0,1
"jekjj1x",1,0,0,1
"jel1j91",1,0,0,1
"jel4273",1,0,0,1
"jelb6pb",1,0,0,1
"jemahok",1,0,0,1
"jeml8bw",1,0,0,1
"jek4jlv",1,0,0,1
"jekcvfh",3,1771,0,0.333333333333333
"jekx821",1,0,0,1
"jeka9ox",2,888,0,0.5
"jel2lw5",1,0,0,1
"jem5myq",1,0,0,1
"jeknkj1",2,888,0,0.5
"jen281i",2,445,0,0.5
"jek4n44",1,0,0,1
"jek9hqs",1,0,0,1
"jel5icy",1,0,0,1
"jelf7b9",1,0,0,1
"jem0f69",1,0,0,1
"jem3grf",1,0,0,1
"jem6v0o",1,0,0,1
"jem8gcf",1,0,0,1
"jemjfae",1,0,0,1
"jemo6pm",1,0,0,1
"jemytd2",1,0,0,1
"jen4vty",1,0,0,1
"jenbl3j",1,0,0,1
"jenc5v0",1,0,0,1
"jeoaziu",1,0,0,1
"jeolwoc",1,0,0,1
"jeqq154",1,0,0,1
"jer2vle",1,0,0,1
"jes0fb8",1,0,0,1
"jes81l3",1,0,0,1
"jetfj91",1,0,0,1
"jekekzi",12,23641,0,0.0833333333333334
"jem15m8",3,889,0,0.333333333333333
"jelms07",2,445,0,0.5
"jekje7f",3,6515,0,0.333333333333333
"jekquyw",2,445,0,0.5
"jelawqr",1,0,0,1
"jeltyj0",1,0,0,1
"jenm19a",1,0,0,1
"jenodkd",1,0,0,1
"jekxn9q",2,1329,0,0.5
"jelsd9r",1,0,0,1
"jem06g4",1,0,0,1
"jemt5ix",1,0,0,1
"jeoqldf",1,0,0,1
"jep249x",1,0,0,1
"jetbhqk",1,0,0,1
"jgctbgq",1,0,0,1
"jekuxj8",3,6061,0,0.333333333333333
"jel94e0",2,1768,0,0.5
"jel5maf",1,0,0,1
"jekpg7f",1,0,0,1
"jekw737",5,19680,0,0.2
"jel60k8",3,2209,0,0.333333333333333
"jelrejl",2,445,0,0.5
"jemdr05",1,0,0,1
"jelka6j",2,6465,0,0.5
"jemx8m1",1,0,0,1
"jek7eln",9,13563,0,0.111111111111111
"jekmvre",1,0,0,1
"jelmjpk",1,0,0,1
"jekv9c1",1,0,0,1
"jekvwq0",2,2205,0,0.5
"jeknsjv",2,1329,0,0.5
"jeky7cw",1,0,0,1
"jel67si",1,0,0,1
"jencvbc",2,445,0,0.5
"jellehs",2,888,0,0.5
"jekzalg",1,0,0,1
"jek3tvj",5,6933,0,0.2
"jek14vl",4,7357,0,0.25
"jekizks",2,445,0,0.5
"jekxu8w",1,0,0,1
"jelmux4",1,0,0,1
"jekyede",1,0,0,1
"jeldlim",1,0,0,1
"jek8en0",1,0,0,1
"jelg5sr",2,1768,0,0.5
"jemr3w1",1,0,0,1
"jellgt8",1,0,0,1
"jemmrg4",1,0,0,1
"jek009c",4,8609,0,0.25
"jek0kdy",1,0,0,1
"jemqty0",1,0,0,1
"jelwoie",3,1772,0,0.333333333333333
"jep1qwl",1,0,0,1
"jek20gl",2,2205,0,0.5
"jem0uxu",1,0,0,1
"jekavks",1,0,0,1
"jekalcr",2,445,0,0.5
"jek1uum",2,888,0,0.5
"jelhu5d",2,1768,0,0.5
"jek57es",2,445,0,0.5
"jell2pz",1,0,0,1
"jeky6ii",2,445,0,0.5
"jeor32k",1,0,0,1
"jekdjo5",3,889,0,0.333333333333333
"jekitrb",1,0,0,1
"jekjazp",2,445,0,0.5
"jekp923",2,445,0,0.5
"jen3xdn",1,0,0,1
"jeknkuy",11,12775,0,0.0909090909090909
"jelkj2m",5,2214,0,0.2
"jekh7lr",1,0,0,1
"jeksua3",6,3091,0,0.166666666666667
"jektqb3",2,445,0,0.5
"jem5xal",1,0,0,1
"jenmb99",2,1329,0,0.5
"jelbjur",2,445,0,0.5
"jempcnd",1,0,0,1
"jepwfyr",1,0,0,1
"jerf27i",1,0,0,1
"jensej5",1,0,0,1
"jenfzpz",1,0,0,1
"jeoi340",1,0,0,1
"jekqg6w",4,3948,0,0.25
"jel2znc",3,1771,0,0.333333333333333
"jerulh0",1,0,0,1
"jekzwdh",2,888,0,0.5
"jem9dnn",3,5219,0,0.333333333333333
"jendrpa",1,0,0,1
"jem5dko",3,1331,0,0.333333333333333
"jekyhlh",1,0,0,1
"jelbf7t",13,18147,0,0.0769230769230769
"jelkgwb",2,888,0,0.5
"jely5u1",1,0,0,1
"jelvjc5",2,1329,0,0.5
"jenbtn4",1,0,0,1
"jensrsg",1,0,0,1
"jelqho4",7,6121,0,0.142857142857143
"jek9pou",3,7335,0,0.333333333333333
"jek9pz9",3,3085,0,0.333333333333333
"jekd0ni",1,0,0,1
"jekb2ik",1,0,0,1
"jekc79i",1,0,0,1
"jelko8k",1,0,0,1
"jek8hii",1,0,0,1
"jekie3q",1,0,0,1
"jel24xx",4,1773,0,0.25
"jeln8gd",2,888,0,0.5
"jeng58v",1,0,0,1
"jemlgxl",2,445,0,0.5
"jek75ww",2,445,0,0.5
"jekstkp",1,0,0,1
"jek642t",3,4795,0,0.333333333333333
"jemuuv5",1,0,0,1
"jek1aqk",3,4803,0,0.333333333333333
"jek7644",3,1331,0,0.333333333333333
"jemuxe7",1,0,0,1
"jend1zy",1,0,0,1
"jelhi9f",2,1329,0,0.5
