"","Degree","Betweenness","Eigenvecto","Constraint"
"je1ydsq",4,3189,0,0.25
"je28s3b",2,806,0,0.5
"je2tki9",1,0,0,1
"je2oo8r",1,0,0,1
"je42k21",1,0,0,1
"je22vwb",4,3193,0,0.25
"je21fbi",2,2394,0,0.5
"je22ywb",1,0,0,1
"je1tfq9",2,3950,0,0.5
"je0us9k",3,10671,0,0.333333333333333
"je28cow",2,806,0,0.5
"jedw0d8",2,806,0,0.5
"je2515j",1,0,0,1
"je1ri25",3,2792,0,0.333333333333333
"je2ne7y",1,0,0,1
"je2i83o",1,0,0,1
"je2ift1",1,0,0,1
"je2904k",1,0,0,1
"je2jsjf",1,0,0,1
"je2td1p",1,0,0,1
"je3dsa6",1,0,0,1
"je4a9kf",2,1206,0,0.5
"je4ddac",2,404,0,0.5
"je51atg",2,1604,0,0.5
"je4p1k6",1,0,0,1
"je4q2i4",2,404,0,0.5
"je4oyk4",2,806,0,0.5
"jfi5hbb",1,0,0,1
"je37mk1",4,5119,0,0.25
"je3lrol",3,1208,0,0.333333333333333
"je48w9j",1,0,0,1
"je4deuc",1,0,0,1
"je2cb06",3,3959,0,0.333333333333333
"je0z3vm",3,13319,0,0.333333333333333
"je19un6",3,3974,0,0.333333333333333
"je0xxlz",7,15509,0,0.142857142857143
"je11i38",2,404,0,0.5
"je4aiml",2,806,0,0.5
"je4aw6t",1,0,0,1
"je29zto",1,0,0,1
"je4cpyc",1,0,0,1
"je1s4it",2,404,0,0.5
"jfhrwp6",1,0,0,1
"je1y0wc",3,2399,0,0.333333333333333
"je1xu3e",1,0,0,1
"je27l3e",2,806,0,0.5
"je21nhv",2,2000,0,0.5
"je328f8",1,0,0,1
"je292sy",1,0,0,1
"je2vyk3",2,404,0,0.5
"je2a2l8",2,404,0,0.5
"je24ncb",3,1607,0,0.333333333333333
"je2dp8h",1,0,0,1
"je22y5c",2,2000,0,0.5
"je29md3",4,3579,0,0.25
"je0vs5s",2,8426,0,0.5
"je18t3n",2,1604,0,0.5
"je2gvmc",2,404,0,0.5
"jeg0bla",2,404,0,0.5
"je1verm",3,2006,0,0.333333333333333
"je24vyo",1,0,0,1
"je4afo3",2,806,0,0.5
"je4ejoe",1,0,0,1
"je5cd9d",3,1208,0,0.333333333333333
"jedwnrx",1,0,0,1
"je4pn5c",2,404,0,0.5
"je37rdw",5,3979,0,0.2
"je3x8y5",1,0,0,1
"je6w2xg",1,0,0,1
"je47ylz",1,0,0,1
"je3n8kp",2,404,0,0.5
"je2g2qz",3,3183,0,0.333333333333333
"je2q424",1,0,0,1
"je3wrw8",1,0,0,1
"je0zn88",3,12647,0,0.333333333333333
"je2kf5l",3,1208,0,0.333333333333333
"je49s4t",2,2000,0,0.5
"je1efzc",3,7038,0,0.333333333333333
"je0z7af",4,3579,0,0.25
"je0ynyr",2,404,0,0.5
"je0z45g",3,807,0,0.333333333333333
"je0ybzu",1,0,0,1
"jeabp4n",2,2000,0,0.5
"je1swre",1,0,0,1
"je8wk6t",2,404,0,0.5
"je267n5",1,0,0,1
"je21mol",3,1607,0,0.333333333333333
"je34cac",1,0,0,1
"je2819y",2,404,0,0.5
"je2aejt",5,1610,0,0.2
"je43fft",1,0,0,1
"je4bpt1",1,0,0,1
"je25szw",3,807,0,0.333333333333333
"je2aaok",1,0,0,1
"je2suzi",4,1609,0,0.25
"je3wboj",2,2394,0,0.5
"je2a9g5",1,0,0,1
"je2w7yk",1,0,0,1
"je0wqxp",3,8174,0,0.333333333333333
"je1ro49",2,1206,0,0.5
"je2musf",1,0,0,1
"jepcjui",1,0,0,1
"je1zqbf",2,404,0,0.5
"je2543l",2,806,0,0.5
"je4aq8m",2,404,0,0.5
"je5cewg",1,0,0,1
"je5els3",2,404,0,0.5
"je4qd0f",1,0,0,1
"je396ex",3,2004,0,0.333333333333333
"je4cg6j",1,0,0,1
"je4at32",1,0,0,1
"je3zfl5",2,404,0,0.5
"je45stf",1,0,0,1
"je2hhqv",2,2394,0,0.5
"je47h3a",1,0,0,1
"je1048n",4,12025,0,0.25
"je0zp0g",1,0,0,1
"je2y52r",1,0,0,1
"je3601q",2,404,0,0.5
"je5nvhh",2,1604,0,0.5
"je1j7o6",2,4334,0,0.5
"je1lefu",2,2000,0,0.5
"je1dxvc",1,0,0,1
"je12nke",1,0,0,1
"je0zefi",4,2403,0,0.25
"je0z7bk",1,0,0,1
"je28b73",1,0,0,1
"je2kyuz",1,0,0,1
"jepcx75",3,1607,0,0.333333333333333
"je90cut",1,0,0,1
"je26vk8",2,806,0,0.5
"je2dugz",1,0,0,1
"je2g2h6",1,0,0,1
"je2fr1f",1,0,0,1
"je366mz",1,0,0,1
"je2fuk4",1,0,0,1
"je3lfz5",1,0,0,1
"je28n0r",1,0,0,1
"je4bj5a",1,0,0,1
"je3ryfc",1,0,0,1
"je3zw0v",2,404,0,0.5
"je2tda8",1,0,0,1
"je4bxpi",3,2004,0,0.333333333333333
"je0xh3r",2,3564,0,0.5
"je0x9l5",2,3950,0,0.5
"je33u0u",2,806,0,0.5
"je24twl",1,0,0,1
"je2ezri",2,404,0,0.5
"je4cqrr",1,0,0,1
"je6d7ah",1,0,0,1
"je4b2wr",3,1208,0,0.333333333333333
"je8xh5w",1,0,0,1
"je4d5ut",1,0,0,1
"je2l02t",4,2007,0,0.25
"je2gfa6",2,404,0,0.5
"je1095c",4,10675,0,0.25
"je2jnku",1,0,0,1
"je3m5vy",1,0,0,1
"je6abz5",2,1206,0,0.5
"je1lw0v",2,3950,0,0.5
"je1lh1n",2,1604,0,0.5
"je10gpu",2,1206,0,0.5
"je22glw",1,0,0,1
"je2ksgl",1,0,0,1
"jepdedb",2,806,0,0.5
"jepd0gm",1,0,0,1
"je2x3cm",2,404,0,0.5
"je4j5x7",1,0,0,1
"je4bz1x",2,1206,0,0.5
"je5s3me",1,0,0,1
"je0yl32",3,3183,0,0.333333333333333
"je10ee7",2,3564,0,0.5
"je4c8fw",2,404,0,0.5
"je2g1bc",1,0,0,1
"je6b0xx",1,0,0,1
"je4b969",2,404,0,0.5
"je2rg1z",1,0,0,1
"je2myiy",2,806,0,0.5
"je2pqiu",1,0,0,1
"je2lvjc",1,0,0,1
"je10m6s",2,8426,0,0.5
"je18g08",1,0,0,1
"je10dac",3,1208,0,0.333333333333333
"je6cqt6",2,806,0,0.5
"je1m1qn",3,3582,0,0.333333333333333
"je25gk4",2,1206,0,0.5
"je11nxc",3,807,0,0.333333333333333
"jepdjlb",2,404,0,0.5
"je3k04i",1,0,0,1
"je5sm84",3,807,0,0.333333333333333
"je0yvfi",2,2394,0,0.5
"je0yodk",1,0,0,1
"je3u1m8",2,3176,0,0.5
"je53h4k",1,0,0,1
"je604nq",1,0,0,1
"je33pnp",2,404,0,0.5
"je10qkm",5,8187,0,0.2
"je1vncm",2,404,0,0.5
"je10fnp",1,0,0,1
"jedwxjo",2,404,0,0.5
"je2i2j2",2,806,0,0.5
"je23vxs",2,2000,0,0.5
"je2i9j0",2,806,0,0.5
"je16qqd",1,0,0,1
"je125n8",1,0,0,1
"jepeml2",1,0,0,1
"jedw6ov",1,0,0,1
"je6n6f4",1,0,0,1
"je0zubk",2,2000,0,0.5
"je3w90v",3,2792,0,0.333333333333333
"je4195y",1,0,0,1
"je10woe",2,4716,0,0.5
"je244gj",2,806,0,0.5
"je1sq97",1,0,0,1
"je10uav",3,1208,0,0.333333333333333
"je23cv6",1,0,0,1
"jee6etz",1,0,0,1
"je2j6io",2,404,0,0.5
"je24cb5",2,1604,0,0.5
"je2ifwr",2,404,0,0.5
"je10n9o",2,1604,0,0.5
"je4c34k",3,2004,0,0.333333333333333
"je551q1",1,0,0,1
"je1160k",2,4334,0,0.5
"je41r0q",2,404,0,0.5
"je25p97",1,0,0,1
"je2c2qp",2,404,0,0.5
"je30hyo",1,0,0,1
"je25lwv",2,1206,0,0.5
"je2ipkh",1,0,0,1
"je12aya",2,1206,0,0.5
"je4c5qc",1,0,0,1
"je4c99s",2,1206,0,0.5
"je11a1l",2,3950,0,0.5
"je41tg8",1,0,0,1
"je2jzw6",1,0,0,1
"je2gnpv",2,806,0,0.5
"je12zze",2,806,0,0.5
"je4cfmf",3,807,0,0.333333333333333
"je12y50",2,3564,0,0.5
"je2h4is",2,404,0,0.5
"je13gt5",2,404,0,0.5
"je4cief",1,0,0,1
"je4cqow",1,0,0,1
"je134k9",3,3183,0,0.333333333333333
"je2ljax",1,0,0,1
"je13yr8",1,0,0,1
"je1syif",1,0,0,1
"je1382j",4,2405,0,0.25
"je13v5f",2,806,0,0.5
"je27nx2",2,404,0,0.5
"je1xc4s",1,0,0,1
"je141uf",2,404,0,0.5
"je2gca8",1,0,0,1
"je147ko",1,0,0,1
"jeaf4q6",3,187,0,0.333333333333333
"jeahibp",3,307,0,0.333333333333333
"jeaez5o",2,264,0,0.5
"jeaixpr",1,0,0,1
"jealzov",2,184,0,0.5
"jeasxqx",2,184,0,0.5
"jeatv7y",1,0,0,1
"jebe2w6",2,96,0,0.5
"jeafi20",2,369,0,0.5
"jeagzns",1,0,0,1
"jeai2zj",2,96,0,0.5
"jeaidpx",1,0,0,1
"jeahaeg",1,0,0,1
"jeahcii",3,97,0,0.333333333333333
"jeaiq2v",3,229,0,0.333333333333333
"jeaivd7",1,0,0,1
"jeahc99",4,232,0,0.25
"jeamtll",2,141,0,0.5
"jebqdbg",2,141,0,0.5
"jebr4x5",2,49,0,0.5
"jeahh1g",2,336,0,0.5
"jeak691",2,49,0,0.5
"jeai7zl",1,0,0,1
"jeaje5g",1,0,0,1
"jean7og",3,143,0,0.333333333333333
"jeb6r82",1,0,0,1
"jeajq4w",1,0,0,1
"jealhxx",2,96,0,0.5
"jeaiwj2",1,0,0,1
"jeaqz0h",2,96,0,0.5
"jec13m0",2,96,0,0.5
"jed8paw",1,0,0,1
"jeaijxa",2,301,0,0.5
"jeaqvqa",1,0,0,1
"jebjyof",1,0,0,1
"jebr1jo",2,49,0,0.5
"jeane5t",2,49,0,0.5
"jebqq4j",2,49,0,0.5
"jec7ur3",2,49,0,0.5
"jeajmdz",3,269,0,0.333333333333333
"jebv8lk",1,0,0,1
"jecglpz",1,0,0,1
"jebssfs",1,0,0,1
"jec8lbr",1,0,0,1
"jeaju6e",1,0,0,1
"jeal7mf",2,184,0,0.5
"jeanq4u",2,141,0,0.5
"jec0w01",2,96,0,0.5
"jec8azp",2,49,0,0.5
"jecbu3d",1,0,0,1
"j8nxm7j",13,34841,0,0.0769230769230769
"j8nxfai",8,20350,0,0.125
"j8o0rbp",3,7731,0,0.333333333333333
"j8nwrod",1,0,0,1
"j8o8py5",2,800,0,0.5
"j8nvtrr",8,19986,0,0.125
"j8omn1x",1,0,0,1
"j8o29js",1,0,0,1
"j8nwojm",2,401,0,0.5
"j8qent6",3,2771,0,0.333333333333333
"j8rdi0n",1,0,0,1
"j8ovos1",1,0,0,1
"j8nv9o0",4,3171,0,0.25
"j8txv7x",2,401,0,0.5
"j8q8e4v",1,0,0,1
"j8o2puf",2,800,0,0.5
"j8o0hsp",2,3537,0,0.5
"j8p687y",1,0,0,1
"j8puh48",1,0,0,1
"j8qom8q",2,401,0,0.5
"j8vtn57",1,0,0,1
"j8owbf2",3,3555,0,0.333333333333333
"j8owt1k",2,5432,0,0.5
"j8orbqk",2,2376,0,0.5
"j8ojovx",3,1595,0,0.333333333333333
"j8od0ks",1,0,0,1
"j8q0ppe",2,401,0,0.5
"j8q7l9q",1,0,0,1
"j8qnv61",1,0,0,1
"j8qr5f9",1,0,0,1
"j8tcvb7",1,0,0,1
"j92jbaj",1,0,0,1
"j8of0hj",2,401,0,0.5
"j8ofhyy",3,801,0,0.333333333333333
"j8our1j",1,0,0,1
"j8oght9",1,0,0,1
"j8oopbq",1,0,0,1
"j8ort6y",2,401,0,0.5
"j8pri74",1,0,0,1
"j8o2r3q",1,0,0,1
"j8piums",1,0,0,1
"j8nxg6s",3,4319,0,0.333333333333333
"j8oik6u",1,0,0,1
"j8oqkhr",1,0,0,1
"j8p8iv1",1,0,0,1
"j8p9bdf",2,401,0,0.5
"j8qseow",1,0,0,1
"j8rbkam",1,0,0,1
"j8o8ivv",3,3929,0,0.333333333333333
"j8p18za",1,0,0,1
"j8q87nr",1,0,0,1
"j8obheu",1,0,0,1
"j8p0ix5",1,0,0,1
"j8pjntm",1,0,0,1
"j8puoe1",1,0,0,1
"j8q6u2n",1,0,0,1
"j8qbvzj",1,0,0,1
"j8rat3k",1,0,0,1
"j8zuwbw",1,0,0,1
"jai0qg5",2,401,0,0.5
"jbbguuq",1,0,0,1
"jbwwpf7",1,0,0,1
"jdwkvfo",2,401,0,0.5
"jh1zkux",1,0,0,1
"jj9jyg2",1,0,0,1
"jmaqmt5",1,0,0,1
"jmmlq94",2,401,0,0.5
"j8ohaqg",5,24283,0,0.2
"j8ojhjp",2,800,0,0.5
"j8ot27b",5,7328,0,0.2
"j8sdzqg",1,0,0,1
"j8oxi3e",1,0,0,1
"j8pucu5",1,0,0,1
"j8p0pmh",2,1592,0,0.5
"j8tl6t7",1,0,0,1
"j8p2ww0",2,401,0,0.5
"j8pvsb9",1,0,0,1
"j8rn917",1,0,0,1
"j8rb545",1,0,0,1
"j8o5mgw",4,2385,0,0.25
"j8odtdt",2,401,0,0.5
"j8o8ovs",4,11735,0,0.25
"j8p8gl0",2,3537,0,0.5
"j8pu53q",2,800,0,0.5
"j8pja6x",1,0,0,1
"jfyuhw1",1,0,0,1
"j8q15vh",4,2387,0,0.25
"j8o8q0t",5,4710,0,0.2
"j8ryvye",2,401,0,0.5
"j8o69t6",2,17600,0,0.5
"j8p7wou",1,0,0,1
"j8pulze",1,0,0,1
"j8pa1c4",1,0,0,1
"j8oh6ct",1,0,0,1
"j8p8zyz",1,0,0,1
"j8ppydu",1,0,0,1
"j8puj1i",1,0,0,1
"j8r3iii",1,0,0,1
"j8rzpni",2,1985,0,0.5
"j8qiuhv",3,801,0,0.333333333333333
"j8pe4ky",3,1199,0,0.333333333333333
"j8pk8lw",1,0,0,1
"jhhq56n",1,0,0,1
"j8p6wwf",2,401,0,0.5
"j8oeljs",5,3174,0,0.2
"j8s3kke",1,0,0,1
"j8qe59v",2,1985,0,0.5
"j8pmw3p",2,800,0,0.5
"j8pms3g",3,5097,0,0.333333333333333
"j8qodsu",5,1994,0,0.2
"j8oy9sq",2,800,0,0.5
"j8s1snv",1,0,0,1
"j8s2uzj",1,0,0,1
"j8s3r00",1,0,0,1
"j8qlqos",1,0,0,1
"j8s42p3",1,0,0,1
"j8qolaa",1,0,0,1
"j8nzai6",2,401,0,0.5
"j8oetqx",2,3152,0,0.5
"j8s262v",1,0,0,1
"j8pn8yx",2,3152,0,0.5
"j8qqq64",1,0,0,1
"jiyxn4v",1,0,0,1
"jmjtlre",1,0,0,1
"jmmm1jn",1,0,0,1
"j8p3a9y",4,18183,0,0.25
"j8rtd55",1,0,0,1
"j8qea4x",2,5057,0,0.5
"j8qxnxl",2,1197,0,0.5
"j8tiih2",2,401,0,0.5
"j8p6a5c",8,5895,0,0.125
"j8qitgy",1,0,0,1
"j8reydo",1,0,0,1
"j8qoo4o",1,0,0,1
"j8xadf9",2,1197,0,0.5
"j8setqx",1,0,0,1
"j8o5zxo",4,1200,0,0.25
"j8o6b7m",1,0,0,1
"j8ohop0",1,0,0,1
"jalfkd3",1,0,0,1
"j8objgh",4,1200,0,0.25
"j8p3rzu",4,7748,0,0.25
"j8pj231",2,1985,0,0.5
"j8q7j9x",2,3152,0,0.5
"j8qbjc2",2,401,0,0.5
"j8s9ax5",1,0,0,1
"j8rhpea",2,800,0,0.5
"jf44qc2",2,401,0,0.5
"j8ob148",3,3164,0,0.333333333333333
"j8qswc4",1,0,0,1
"j8q6sir",1,0,0,1
"jpewnjt",1,0,0,1
"j8sxvip",1,0,0,1
"j8o9m7b",3,17391,0,0.333333333333333
"j8uqu4k",3,1595,0,0.333333333333333
"j8rzuvw",1,0,0,1
"j8wjxmz",1,0,0,1
"j8r3gv3",2,401,0,0.5
"j8wjspp",1,0,0,1
"j8rafnc",1,0,0,1
"j8pkr6l",3,801,0,0.333333333333333
"j8pw1u2",2,800,0,0.5
"j8oqrg1",1,0,0,1
"j8pkxuc",1,0,0,1
"j8qu0cc",2,1592,0,0.5
"j8qzep4",2,401,0,0.5
"j8s5h76",2,1592,0,0.5
"j90sepr",2,2765,0,0.5
"j8qt0kx",1,0,0,1
"j8qu04q",2,401,0,0.5
"j8sck7t",1,0,0,1
"j8swfei",1,0,0,1
"j8qe6ox",2,401,0,0.5
"j8olqfc",1,0,0,1
"j8oh2n6",4,2779,0,0.25
"j8pxfof",2,2765,0,0.5
"j8pncnl",3,12293,0,0.333333333333333
"j8pia12",2,800,0,0.5
"j8qkdys",2,4680,0,0.5
"j8r270y",2,4680,0,0.5
"j8r6a0y",2,800,0,0.5
"j8tiugp",1,0,0,1
"j8pvdne",2,401,0,0.5
"j8qry00",1,0,0,1
"j8qawfg",2,401,0,0.5
"j8qkjai",2,1592,0,0.5
"j8qosh0",1,0,0,1
"j8r2gky",1,0,0,1
"j8s5ng5",2,800,0,0.5
"j9nsjek",2,800,0,0.5
"j8ov2g8",1,0,0,1
"j8oyuim",1,0,0,1
"j8pc7ih",1,0,0,1
"j8oj006",1,0,0,1
"j8opvnv",1,0,0,1
"j8pr85t",1,0,0,1
"j8puo8z",2,401,0,0.5
"j8p9ko0",3,4311,0,0.333333333333333
"j8phz2i",2,1985,0,0.5
"j8pwp2p",3,1595,0,0.333333333333333
"j8qkwia",5,2780,0,0.2
"j8s92t3",1,0,0,1
"jbbx963",2,401,0,0.5
"jf4cwv7",1,0,0,1
"j8ocasx",3,1991,0,0.333333333333333
"j8ow23d",2,401,0,0.5
"j8oe4uy",6,17160,0,0.166666666666667
"j8qaydq",2,401,0,0.5
"j94k7t3",1,0,0,1
"j8uxvbv",2,800,0,0.5
"j8rhzan",1,0,0,1
"j8sbpob",1,0,0,1
"j8sed7t",1,0,0,1
"j8rxis1",2,401,0,0.5
"j8ribzd",3,1199,0,0.333333333333333
"j8svx1b",1,0,0,1
"j8swfkc",2,1197,0,0.5
"j929u8v",2,2376,0,0.5
"j8r324k",1,0,0,1
"jmmmiab",1,0,0,1
"j8ovkql",3,1199,0,0.333333333333333
"j8pgr8q",2,401,0,0.5
"j8w3c46",1,0,0,1
"j8pz5xj",2,2376,0,0.5
"j8ppi82",2,10472,0,0.5
"j8qk6ef",2,1197,0,0.5
"j8r6ctu",2,401,0,0.5
"j8r22wq",2,4301,0,0.5
"j8wwlg7",2,4301,0,0.5
"j8r795v",2,401,0,0.5
"j8u1hfx",1,0,0,1
"j8t6gjm",1,0,0,1
"j8qotm4",3,1199,0,0.333333333333333
"j8s6p6p",2,401,0,0.5
"j9ockf1",2,401,0,0.5
"j8srj2y",1,0,0,1
"j8pc11f",5,3558,0,0.2
"j8piuv8",1,0,0,1
"j8pioks",4,1597,0,0.25
"j8qvsrj",1,0,0,1
"j8q8djy",2,800,0,0.5
"j8s86gy",1,0,0,1
"j8qm8ht",2,1197,0,0.5
"j8sl8ir",1,0,0,1
"j8teom7",1,0,0,1
"jbc32e1",1,0,0,1
"j8oiipm",3,801,0,0.333333333333333
"j8qwula",2,401,0,0.5
"j8owuc4",1,0,0,1
"j8p1oos",4,4336,0,0.25
"j8pgb3j",2,1592,0,0.5
"j8oei1s",3,6240,0,0.333333333333333
"j8oq3ky",2,800,0,0.5
"j8oef5i",4,3165,0,0.25
"j8qchuy",1,0,0,1
"j8v8932",2,401,0,0.5
"j8ypz4h",1,0,0,1
"j8rjrrw",1,0,0,1
"j8rocd8",2,401,0,0.5
"j8twbkr",2,800,0,0.5
"j93km2s",2,1985,0,0.5
"j8ow0lj",2,401,0,0.5
"j8rt94b",1,0,0,1
"j8pke7z",1,0,0,1
"j8qc2q1",2,1985,0,0.5
"j8pq8ju",5,10312,0,0.2
"j8rbypc",2,800,0,0.5
"j8s2art",1,0,0,1
"j8sh3wk",2,3920,0,0.5
"j8x18gf",4,3949,0,0.25
"j8re1e4",1,0,0,1
"j8qwwvf",1,0,0,1
"j8s6vxd",2,401,0,0.5
"j8sb3cj",1,0,0,1
"j9ss0sr",1,0,0,1
"j8q7c0v",1,0,0,1
"j8qdufx",3,1991,0,0.333333333333333
"j8qfkpr",1,0,0,1
"j8r3afs",1,0,0,1
"j8plgim",1,0,0,1
"j8pwita",2,401,0,0.5
"j8qxpe9",1,0,0,1
"j8qjefx",2,401,0,0.5
"j8qq9at",3,801,0,0.333333333333333
"j8oucfh",1,0,0,1
"j8rymb9",1,0,0,1
"j8r7iuo",1,0,0,1
"j8p71yh",3,1595,0,0.333333333333333
"j8p76a2",1,0,0,1
"j8w1lka",2,1592,0,0.5
"j8pmhft",3,1199,0,0.333333333333333
"j8poafg",2,2765,0,0.5
"j8oy7q5",3,2777,0,0.333333333333333
"j8oqen6",2,401,0,0.5
"j8ofz0n",1,0,0,1
"j8oo1qe",4,1992,0,0.25
"j8r8y32",1,0,0,1
"j8wifwf",1,0,0,1
"j8tdhgw",1,0,0,1
"j8tybgn",2,401,0,0.5
"j93oh3f",2,1592,0,0.5
"j8pjkrw",1,0,0,1
"j8qdarn",2,1592,0,0.5
"j8qv2gb",10,6287,0,0.1
"j8r3e12",5,2780,0,0.2
"j8qkfr3",1,0,0,1
"j8s99k6",1,0,0,1
"j8sd7sb",2,401,0,0.5
"j8u0yet",2,3537,0,0.5
"j8x6bwr",2,1592,0,0.5
"jen2p63",2,1197,0,0.5
"jptq29u",1,0,0,1
"j8s777i",1,0,0,1
"j8ruy0s",2,401,0,0.5
"j8qip26",2,800,0,0.5
"j8sqx7k",1,0,0,1
"j8qk87n",1,0,0,1
"j8qyt74",1,0,0,1
"j8qtvsz",1,0,0,1
"j8p7ggw",2,800,0,0.5
"j8qau7j",1,0,0,1
"j8wug81",2,1197,0,0.5
"j8qdu42",2,401,0,0.5
"j8s1q2i",1,0,0,1
"j8qgisu",2,2376,0,0.5
"j8p5g5l",2,1197,0,0.5
"j8oyyli",2,800,0,0.5
"j8owt6r",1,0,0,1
"j8owbsy",1,0,0,1
"j8oy4g0",1,0,0,1
"j8oqp3o",2,800,0,0.5
"j8uieoq",1,0,0,1
"j9443dc",2,1197,0,0.5
"j8qgwqr",2,1197,0,0.5
"j8s26j7",2,401,0,0.5
"j8rbhcx",3,801,0,0.333333333333333
"j8r9q77",3,801,0,0.333333333333333
"j8r1vdg",2,401,0,0.5
"j8riazj",2,401,0,0.5
"j8rbpaf",1,0,0,1
"j8rhaog",1,0,0,1
"j8rmwuz",1,0,0,1
"j8t6cmo",1,0,0,1
"j8rb2h9",1,0,0,1
"j8rc0q8",1,0,0,1
"j8rph4x",2,1197,0,0.5
"jgvlq9e",1,0,0,1
"j8u0dj1",1,0,0,1
"j8votog",2,3152,0,0.5
"j8x7uzj",2,1197,0,0.5
"jenxzq6",2,800,0,0.5
"j8rx2y0",1,0,0,1
"j8qivj5",2,401,0,0.5
"j8p83bn",2,401,0,0.5
"j8wwqsk",2,800,0,0.5
"j8r3ems",1,0,0,1
"j8qigky",2,1985,0,0.5
"j8qmmnd",2,800,0,0.5
"j8ozst5",2,401,0,0.5
"j8oqx13",2,401,0,0.5
"j944kry",2,800,0,0.5
"j8qiqkb",2,800,0,0.5
"j96pce2",1,0,0,1
"j8rid8g",1,0,0,1
"j8vb7q8",1,0,0,1
"j8rhk27",1,0,0,1
"jldpn6c",1,0,0,1
"jb07jap",1,0,0,1
"j8s89x7",1,0,0,1
"j8s53r3",2,800,0,0.5
"j8vt7c2",2,2765,0,0.5
"j8x984h",2,800,0,0.5
"jfb4pas",2,401,0,0.5
"j8t1x3z",1,0,0,1
"j8p8fzc",1,0,0,1
"j8x043i",2,401,0,0.5
"j8qjta9",2,1592,0,0.5
"j8qnimr",2,401,0,0.5
"j8qii69",1,0,0,1
"j8oycex",1,0,0,1
"j944p5q",2,401,0,0.5
"j8qkgs4",2,401,0,0.5
"j8sbig2",2,401,0,0.5
"j90zctn",2,2376,0,0.5
"j8xid5y",2,401,0,0.5
"jfboqze",1,0,0,1
"j8x0ulu",1,0,0,1
"j8qk2dl",2,1197,0,0.5
"j8rz61e",1,0,0,1
"j9451gc",1,0,0,1
"j8qlb9y",1,0,0,1
"j8tqk6c",1,0,0,1
"j93svzx",2,1985,0,0.5
"j9njzeu",1,0,0,1
"j8qkr36",2,800,0,0.5
"j93vzil",2,1592,0,0.5
"j8qmcrs",2,401,0,0.5
"j93y5ou",2,1197,0,0.5
"j8qobul",1,0,0,1
"j945di3",2,800,0,0.5
"j94aw22",2,401,0,0.5
"j94f2m7",1,0,0,1
